"Team" "Date" "" "Opponent" "" "Cmp" "Att" "Pct" "Yds" "TD" "Att" "Yds" "Avg" "TD" "Plays" "Yds" "Avg" "Pass" "Rush" "Pen" "Tot" "No." "Yds" "Fum" "Int" "TO"
"1372" "coastal-carolina" "2017-09-30" "@" "Louisiana-Monroe" "L (43-51)" 12 20 60 101 1 40 243 6.1 4 60 344 5.7 5 9 2 16 4 35 0 0 0
"1373" "coastal-carolina" "2017-10-07" "" "Georgia State" "L (21-27)" 18 30 60 273 1 40 91 2.3 2 70 364 5.2 12 7 3 22 6 45 0 1 1
"1374" "coastal-carolina" "2017-10-14" "@" "Arkansas State" "L (17-51)" 24 37 64.9 286 5 37 189 5.1 0 74 475 6.4 16 10 2 27 6 59 0 0 0
"1375" "coastal-carolina" "2017-10-21" "@" "Appalachian State" "L (29-37)" 23 39 59 427 2 35 122 3.5 3 74 549 7.4 16 8 3 27 8 72 0 0 0
"1376" "coastal-carolina" "2017-10-28" "" "Texas State" "L (7-27)" 27 39 69.2 269 2 52 238 4.6 1 91 507 5.6 10 18 4 32 6 60 1 1 2
"1377" "coastal-carolina" "2017-11-04" "@" "Arkansas" "L (38-39)" 16 25 64 264 1 35 259 7.4 4 60 523 8.7 8 13 0 21 5 52 1 0 1
"1378" "coastal-carolina" "2017-11-11" "" "Troy" "L (17-42)" 21 33 63.6 259 1 36 122 3.4 3 69 381 5.5 12 11 1 24 4 29 0 1 1
"1379" "coastal-carolina" "2017-11-18" "@" "Idaho" "W (13-7)" 18 26 69.2 177 1 33 100 3 0 59 277 4.7 9 5 0 14 8 84 0 1 1
"1380" "coastal-carolina" "2017-12-02" "" "Georgia Southern" "W (28-17)" 7 17 41.2 87 1 51 197 3.9 1 68 284 4.2 5 11 0 16 5 25 1 1 2
"1381" "arizona" "2017-09-02" "" "Northern Arizona" "W (62-24)" 27 50 54 377 0 40 226 5.7 3 90 603 6.7 12 13 4 29 9 78 1 2 3
"1382" "arizona" "2017-09-09" "" "Houston" "L (16-19)" 25 32 78.1 225 1 37 158 4.3 1 69 383 5.6 11 6 1 18 10 110 0 2 2
"1383" "arizona" "2017-09-15" "@" "Texas-El Paso" "W (63-16)" 18 39 46.2 201 1 14 17 1.2 1 53 218 4.1 10 1 1 12 4 35 1 1 2
"1384" "arizona" "2017-09-22" "" "Utah" "L (24-30)" 17 28 60.7 229 1 38 112 2.9 1 66 341 5.2 8 9 4 21 9 83 2 0 2
"1385" "arizona" "2017-10-07" "@" "Colorado" "W (45-42)" 19 32 59.4 251 3 58 300 5.2 3 90 551 6.1 11 18 0 29 12 110 0 0 0
"1386" "arizona" "2017-10-14" "" "UCLA" "W (47-30)" 20 34 58.8 219 0 38 190 5 4 72 409 5.7 11 11 6 28 7 80 1 3 4
"1387" "arizona" "2017-10-21" "@" "California" "W (45-44)" 29 49 59.2 301 2 47 172 3.7 4 96 473 4.9 17 9 5 31 7 58 0 2 2
"1388" "arizona" "2017-10-28" "" "Washington State" "W (58-37)" 58 84 69 602 3 17 44 2.6 2 101 646 6.4 28 3 1 32 7 50 0 4 4
"1389" "arizona" "2017-11-04" "@" "Southern California" "L (35-49)" 20 26 76.9 311 2 52 331 6.4 4 78 642 8.2 15 14 1 30 14 123 0 1 1
"1390" "arizona" "2017-11-11" "" "Oregon State" "W (49-28)" 16 28 57.1 209 4 40 151 3.8 0 68 360 5.3 10 10 2 22 5 39 0 1 1
"1391" "arizona" "2017-11-18" "@" "Oregon" "L (28-48)" 14 21 66.7 235 1 50 353 7.1 5 71 588 8.3 9 13 2 24 12 117 0 1 1
"1392" "arizona" "2017-11-25" "@" "Arizona State" "L (30-42)" 11 17 64.7 163 3 49 227 4.6 3 66 390 5.9 7 10 1 19 5 50 1 1 2
"1393" "arizona" "2017-12-27" "N" "Purdue*" "L (35-38)" 33 53 62.3 396 4 40 159 4 1 93 555 6 15 11 1 27 5 50 0 1 1
"1394" "mississippi" "2017-09-02" "" "South Alabama" "W (47-27)" 19 31 61.3 204 1 37 170 4.6 2 68 374 5.5 13 11 1 25 3 22 0 0 0
"1395" "mississippi" "2017-09-09" "" "Tennessee-Martin" "W (45-23)" 10 17 58.8 115 0 44 219 5 3 61 334 5.5 5 8 1 14 7 47 0 1 1
"1396" "mississippi" "2017-09-16" "@" "California" "L (16-27)" 24 48 50 236 1 40 163 4.1 1 88 399 4.5 13 8 4 25 7 90 0 2 2
"1397" "mississippi" "2017-09-30" "@" "Alabama" "L (3-66)" 15 24 62.5 248 3 51 365 7.2 5 75 613 8.2 11 14 1 26 7 60 0 0 0
"1398" "mississippi" "2017-10-07" "@" "Auburn" "L (23-44)" 14 21 66.7 235 2 51 326 6.4 3 72 561 7.8 8 15 2 25 3 30 0 0 0
"1399" "mississippi" "2017-10-14" "" "Vanderbilt" "W (57-35)" 18 37 48.6 229 3 37 188 5.1 2 74 417 5.6 13 7 1 21 6 52 1 1 2
"1400" "mississippi" "2017-10-21" "" "Louisiana State" "L (24-40)" 9 13 69.2 200 2 55 393 7.1 2 68 593 8.7 8 15 3 26 8 89 0 0 0
"1401" "mississippi" "2017-10-28" "" "Arkansas" "L (37-38)" 19 30 63.3 189 3 53 260 4.9 1 83 449 5.4 10 15 2 27 1 10 1 1 2
"1402" "mississippi" "2017-11-04" "@" "Kentucky" "W (37-34)" 20 25 80 236 1 45 219 4.9 3 70 455 6.5 10 12 1 23 4 40 0 0 0
"1403" "mississippi" "2017-11-11" "" "Louisiana" "W (50-22)" 18 35 51.4 199 0 31 228 7.4 3 66 427 6.5 10 10 1 21 6 50 0 0 0
"1404" "mississippi" "2017-11-18" "" "Texas A&M" "L (24-31)" 19 32 59.4 272 1 44 119 2.7 2 76 391 5.1 11 2 5 18 7 65 0 1 1
"1405" "mississippi" "2017-11-23" "@" "Mississippi State" "W (31-28)" 14 32 43.8 207 1 62 294 4.7 2 94 501 5.3 9 16 2 27 9 88 3 2 5
