"Team" "Date" "" "Opponent" "Result" "Cmp" "Att" "Pct" "Yds" "TD" "Att" "Yds" "Avg" "TD" "Plays" "Yds" "Avg" "Pass" "Rush" "Pen" "Tot" "No." "Yds" "Fum" "Int" "Tot"
"23" "temple" "2017-09-02" "@" "Notre Dame" "L (16-49)" 19 35 54.3 245 2 37 85 2.3 0 72 330 4.6 13 4 1 18 6 42 1 0 1
"33" "temple" "2017-09-09" "" "Villanova" "W (16-13)" 20 34 58.8 274 0 27 79 2.9 1 61 353 5.8 10 5 2 17 8 59 0 0 0
"43" "temple" "2017-09-15" "" "Massachusetts" "W (29-21)" 24 39 61.5 268 3 34 119 3.5 0 73 387 5.3 14 5 1 20 7 74 0 0 0
"53" "temple" "2017-09-21" "@" "South Florida" "L (7-43)" 7 25 28 89 0 33 -4 -0.1 0 58 85 1.5 4 2 1 7 6 51 2 4 6
"63" "temple" "2017-09-30" "" "Houston" "L (13-20)" 20 42 47.6 182 1 37 142 3.8 0 79 324 4.1 9 11 2 22 10 83 0 3 3
"73" "temple" "2017-10-07" "@" "East Carolina" "W (34-10)" 21 33 63.6 344 2 46 179 3.9 2 79 523 6.6 14 6 4 24 8 65 0 1 1
"83" "temple" "2017-10-14" "" "Connecticut" "L (24-28)" 33 55 60 356 1 29 117 4 2 84 473 5.6 18 7 3 28 12 117 1 1 2
"93" "temple" "2017-10-21" "@" "Army" "L (28-31)" 21 31 67.7 289 1 37 217 5.9 3 68 506 7.4 13 10 1 24 8 45 0 0 0
"103" "temple" "2017-11-02" "" "Navy" "W (34-26)" 22 30 73.3 289 4 28 104 3.7 0 58 393 6.8 14 4 2 20 6 50 0 1 1
"113" "temple" "2017-11-10" "@" "Cincinnati" "W (35-24)" 19 30 63.3 224 1 43 205 4.8 2 73 429 5.9 11 12 2 25 4 50 1 1 2
"123" "temple" "2017-11-18" "" "Central Florida" "L (19-45)" 17 42 40.5 201 2 35 196 5.6 0 77 397 5.2 8 10 1 19 6 57 1 4 5
"133" "temple" "2017-11-25" "@" "Tulsa" "W (43-22)" 21 29 72.4 258 3 34 193 5.7 2 63 451 7.2 13 6 1 20 10 123 0 0 0
"141" "temple" "2017-12-21" "N" "Florida International*" "W (28-3)" 18 28 64.3 254 1 41 141 3.4 3 69 395 5.7 11 7 2 20 10 86 1 0 1
"24" "tulsa" "2017-08-31" "@" "Oklahoma State" "L (24-59)" 20 38 52.6 188 0 60 244 4.1 2 98 432 4.4 10 14 2 26 6 48 2 0 2
"34" "tulsa" "2017-09-09" "" "Louisiana" "W (66-42)" 14 20 70 243 1 72 424 5.9 8 92 667 7.3 9 21 3 33 5 46 1 0 1
