"Team" "Date" "" "Opponent" "Result" "Cmp" "Att" "Pct" "Yds" "TD" "Att" "Yds" "Avg" "TD" "Plays" "Yds" "Avg" "Pass" "Rush" "Pen" "Tot" "No." "Yds" "Fum" "Int" "Tot"
"12120" "tulsa" "2017-11-16" "@" "South Florida" "L (20-27)" 14 28 50 191 0 55 166 3 2 83 357 4.3 7 13 2 22 7 46 0 0 0
"13117" "tulsa" "2017-11-25" "" "Temple" "L (22-43)" 6 19 31.6 55 1 54 314 5.8 1 73 369 5.1 2 18 5 25 6 55 1 2 3
"2121" "connecticut" "2017-08-31" "" "Holy Cross" "W (27-20)" 28 41 68.3 278 1 37 160 4.3 3 78 438 5.6 10 7 1 18 4 40 2 0 2
"3121" "connecticut" "2017-09-16" "@" "Virginia" "L (18-38)" 18 26 69.2 227 2 41 207 5 1 67 434 6.5 10 9 4 23 1 5 1 1 2
"4121" "connecticut" "2017-09-24" "" "East Carolina" "L (38-41)" 24 39 61.5 406 3 38 190 5 2 77 596 7.7 15 9 3 27 4 40 0 1 1
"5121" "connecticut" "2017-09-30" "@" "Southern Methodist" "L (28-49)" 22 28 78.6 408 2 36 -8 -0.2 1 64 400 6.3 13 2 3 18 5 42 1 0 1
"6121" "connecticut" "2017-10-06" "" "Memphis" "L (31-70)" 21 35 60 310 1 34 167 4.9 3 69 477 6.9 14 7 3 24 6 55 2 1 3
"7121" "connecticut" "2017-10-14" "@" "Temple" "W (28-24)" 18 28 64.3 105 3 36 143 4 0 64 248 3.9 6 6 3 15 6 51 1 1 2
"8121" "connecticut" "2017-10-21" "" "Tulsa" "W (20-14)" 23 29 79.3 372 1 42 69 1.6 1 71 441 6.2 11 6 2 19 11 105 0 0 0
"9121" "connecticut" "2017-10-28" "" "Missouri" "L (12-52)" 22 52 42.3 233 0 41 121 3 1 93 354 3.8 9 11 3 23 5 65 0 1 1
"10121" "connecticut" "2017-11-04" "" "South Florida" "L (20-37)" 21 28 75 176 1 41 148 3.6 2 69 324 4.7 12 7 3 22 2 20 0 1 1
"11121" "connecticut" "2017-11-11" "@" "Central Florida" "L (24-49)" 18 31 58.1 201 2 45 212 4.7 1 76 413 5.4 9 11 3 23 8 79 1 1 2
"12121" "connecticut" "2017-11-18" "N" "Boston College" "L (16-39)" 14 33 42.4 241 1 41 171 4.2 1 74 412 5.6 8 7 0 15 7 47 0 3 3
"13118" "connecticut" "2017-11-25" "@" "Cincinnati" "L (21-22)" 27 51 52.9 273 1 52 176 3.4 1 103 449 4.4 13 13 3 29 4 37 0 1 1
"2122" "bowling-green-state" "2017-09-02" "@" "Michigan State" "L (10-35)" 10 31 32.3 145 0 24 67 2.8 0 55 212 3.9 6 3 0 9 4 20 0 1 1
"3122" "bowling-green-state" "2017-09-09" "" "South Dakota" "L (27-35)" 20 49 40.8 311 2 34 161 4.7 0 83 472 5.7 13 7 3 23 14 155 2 1 3
"4122" "bowling-green-state" "2017-09-16" "@" "Northwestern" "L (7-49)" 27 44 61.4 256 0 30 96 3.2 1 74 352 4.8 14 6 1 21 3 15 1 0 1
"5122" "bowling-green-state" "2017-09-23" "@" "Middle Tennessee State" "L (13-24)" 21 35 60 283 1 29 41 1.4 0 64 324 5.1 11 3 0 14 6 50 0 0 0
